English,Chinese
the,这
of,的
and,和
in,在
to,到
was,曾是
is,是
for,为了
on,在
as,作为
with,和
by,经过
he,他
that,那
at,在
from,从
his,他的
it,它
an,一个
were,是
which,哪一个
are,是
this,这个
also,还
be,是
had,有
or,或者
has,已
first,第一的
their,他们的
after,后
its,它的
one,一
new,新的
but,但
who,WHO
her,她
not,不是
she,她
they,他们
have,有
two,二
been,是
other,其他
when,什么时候
during,期间
all,全部
into,进入
there,那里
time,时间
may,可能
more,更多的
school,学校
years,年
over,超过
only,只要
would,将
later,之后
most,最多
where,在哪里
between,之间
some,一些
up,向上
world,世界
city,城市
national,国民
about,关于
such,这样的
him,他
then,然后
made,制作
out,出去
state,状态
three,三
while,尽管
used,用过的
university,大学
can,能够
united,联合的
under,在下面
known,众所周知
season,季节
many,许多
year,年
part,部分
became,变成了
born,出生
film,电影
these,这些
than,比
team,团队
no,不
second,第二
including,包含
states,状态
being,存在
through,通过
before,前
both,两个都
american,美国人
south,南
early,早期的
war,战争
history,历史
against,反对
however,然而
family,家庭
until,直到
well,好
since,自从
them,他们
work,工作
life,生活
following,下列的
area,区域
people,人们
series,系列
north,北
name,姓名
career,职业
album,专辑
music,音乐
played,玩
group,团体
district,区
number,数字
several,一些
high,高的
released,发布
county,县
de,德
company,公司
called,叫
will,将要
league,联盟
won,韩元
four,四
house,房子
government,政府
each,每个
march,行进
same,相同的
game,游戏
international,国际的
september,九月
january,一月
club,俱乐部
found,成立
june,六月
october,十月
began,开始
located,位于
july,七月
so,所以
west,西
use,用
august,八月
now,现在
college,大学
john,约翰
station,车站
population,人口
april,四月
public,民众
home,家
end,结尾
november,十一月
member,成员
place,地方
general,一般的
town,镇
former,以前的
december,十二月
church,教会
if,如果
age,年龄
held,握住
named,命名为
system,系统
because,因为
york,约克
took,拿
day,日
river,河
around,大约
football,足球
british,英国人
line,线
east,东
local,当地的
any,任何
song,歌曲
due,到期的
along,沿着
service,服务
party,派对
best,最好的事物
february,二月
served,服务
did,做过
back,背部
another,其他
based,基于
could,可以
within,之内
received,已收到
century,世纪
village,村庄
built,建造
members,成员
building,建筑
major,重大的
final,最终的
show,展示
games,游戏
although,虽然
include,包括
species,物种
death,死亡
band,乐队
small,小的
main,主要的
left,剩下
president,总统
said,说过
published,发表
died,死了
large,大的
last,最后的
five,五
order,命令
st,英石
single,单身的
set,放
third,第三
own,自己的
those,那些
education,教育
according,根据
included,包括
long,长
very,非常
park,公园
still,仍然
road,路
army,军队
division,分配
book,书
development,发展
among,之中
law,法律
often,经常
french,法语
moved,搬了
times,时代
community,社区
central,中央
led,引领
english,英语
original,原来的
son,儿子
children,孩子们
different,不同的
near,靠近
just,只是
top,最佳
late,晚了
again,再次
water,水
air,空气
great,伟大的
center,中央
form,形式
much,很多
research,研究
side,边
us,我们
art,艺术
court,法庭
play,玩
down,下
off,离开
even,甚至
council,议理
german,德语
street,街道
record,记录
power,力量
established,已确立的
ii,II
london,伦敦
land,土地
cup,杯子
having,拥有
title,标题
started,开始
support,支持
political,政治的
students,学生们
award,奖
military,军队
period,时期
came,来了
went,去
production,生产
white,白色的
way,道路
given,给予
island,岛
make,制作
next,下一个
role,角色
television,电视
region,地区
works,作品
total,全部的
championship,锦标赛
using,使用
various,各种各样的
head,头
six,六
do,做
player,播放器
become,变得
father,父亲
list,列表
business,商业
western,西
produced,制作
director,导向器
married,已婚
program,程序
association,协会
england,英国
field,场地
worked,工作
election,选举
black,黑色的
department,部门
joined,加入
announced,宣布
created,创造了
point,观点
returned,回来
professional,专业的
union,联盟
written,书面
few,很少
you,你
young,年轻
without,没有
take,拿
described,描述
site,地点
royal,皇室
services,服务
radio,收音机
together,一起
social,社会的
force,力量
northern,北方
per,每
founded,成立
act,行为
though,尽管
society,社会
wrote,写道
further,更远
women,女性
days,天
lost,丢失
continued,继续
design,设计
william,威廉
every,每一个
version,版本
project,项目
summer,夏天
live,居住
men,男子
man,男人
european,欧洲的
we,我们
southern,南部
position,位置
board,木板
india,印度
france,法国
round,圆形的
railway,铁路
open,打开
level,等级
considered,经过考虑的
control,控制
opened,打开
run,跑
australia,澳大利亚
recorded,记录
important,重要的
san,旧
once,一次
video,视频
california,加利福尼亚州
special,特别的
win,赢
popular,受欢迎的
appeared,出现了
match,比赛
release,释放
common,常见的
battle,战斗
areas,地区
hall,大厅
event,事件
working,在职的
records,记录
james,詹姆士
formed,形成
right,对
playing,玩
see,看
average,平均数
others,其他
short,短的
similar,相似的
teams,队
elected,选举
george,乔治
currently,目前
making,制作
example,例子
awards,奖项
construction,建造
story,故事
living,生活
red,红色的
originally,起初
debut,亮相
race,种族
language,语
forces,势力
lead,带领
la,LA.
signed,签
developed,发达
modern,现代的
appointed,任命
case,案件
addition,添加
police,警察
wife,妻子
result,结果
minister,部长
schools,学校
events,活动
america,美国
route,路线
little,小的
lake,湖
canada,加拿大
himself,他自己
songs,歌曲
current,当前的
upon,之上
how,如何
points,点
rock,岩石
present,展示
never,绝不
free,自由
science,科学
information,信息
health,健康
training,训练
class,班级
throughout,始终
track,追踪
good,好的
media,媒体
museum,博物馆
across,穿过
australian,澳大利亚
human,人类
census,普查
indian,印度人
style,风格
personal,个人的
love,爱
germany,德国
available,可用的
province,省
tour,旅游
away,离开
eventually,最终
body,身体
despite,尽管
eastern,东
sold,卖
committee,委员会
performance,表现
players,玩家
features,特征
festival,节日
coach,教练
should,应该
return,返回
taken,拍摄
